Code,D_P,Description
A852,D,"Encefalitis viral transmitida por artrópodos, no especificada"
A858,D,Otras encefalitis virales especificadas
A86,D,"Encefalitis viral, no especificada"
A87,D,Meningitis viral
A870,D,Meningitis por enterovirus
A871,D,Meningitis adenoviral
A872,D,Coriomeningitis linfocitaria
A878,D,Otras meningitis virales
A879,D,"Meningitis viral, no especificada"
A88,D,"Otras infecciones virales del sistema nervioso central, no clasificadas bajo otro concepto"
A880,D,Fiebre exantemática enteroviral [exantema de Boston]
A881,D,Vértigo epidémico
A888,D,Otras infecciones virales especificadas del sistema nervioso central
A89,D,"Infección viral del sistema nervioso central, no especificada"
A90,D,Fiebre del dengue [dengue clásico]
A91,D,Fiebre del dengue hemorrágico
A92,D,Otras fiebres virales transmitidas por mosquitos
A920,D,Enfermedad por virus Chikungunya
A921,D,Fiebre de Onyong-nyong
A922,D,Fiebre equina venezolana
A923,D,Infección por virus del Nilo occidental
A9230,D,"Infección por virus del Nilo occidental, no especificada"
A9231,D,"Infección por virus del Nilo occidental, con encefalitis"
A9232,D,Infección por virus del Nilo occidental con otras manifestaciones neurológicas
A9239,D,Infección por virus del Nilo occidental con otras complicaciones
A924,D,Fiebre del valle del Rift
A925,D,Enfermedad por virus del Zika
A928,D,Otras fiebres virales especificadas transmitidas por mosquitos
A929,D,"Fiebre viral transmitida por mosquito, no especificada"
A93,D,"Otras fiebres virales transmitidas por artrópodos, no clasificadas bajo otro concepto"
A930,D,Enfermedad por virus de Oropouche
A931,D,Fiebre transmitida por flebotomos
A932,D,Fiebre de Colorado transmitida por garrapatas
A938,D,Otras fiebres virales especificadas transmitidas por artrópodos
A94,D,"Fiebre viral transmitida por artrópodos, no especificada"
A95,D,Fiebre amarilla
A950,D,Fiebre amarilla selvática
A951,D,Fiebre amarilla urbana
A959,D,"Fiebre amarilla, no especificada"
A96,D,Fiebre hemorrágica por arenavirus
A960,D,Fiebre hemorrágica de Junín
A961,D,Fiebre hemorrágica de Machupo
A962,D,Fiebre de Lassa
A968,D,Otras fiebres hemorrágicas por arenavirus
A969,D,"Fiebre hemorrágica por arenavirus, no especificada"
A98,D,"Otras fiebres virales hemorrágicas, no clasificadas bajo otro concepto"
A980,D,Fiebre hemorrágica de Crimea-Congo
A981,D,Fiebre hemorrágica de Omsk
A982,D,Enfermedad de la selva de Kyasanur
A983,D,Enfermedad por el virus de Marburg
A984,D,Enfermedad por el virus de Ébola
A985,D,Fiebres hemorrágicas con síndrome renal
A988,D,Otras fiebres hemorrágicas virales especificadas
A99,D,"Fiebre viral hemorrágica, no especificada"
B00,D,Infecciones por herpesvirus [herpes simple]
B000,D,Eccema herpético
B001,D,Dermatitis vesicular herpética
B002,D,Gingivoestomatitis y faringoamigdalitis herpética
B003,D,Meningitis herpética
B004,D,Encefalitis herpética
B005,D,Afectación ocular por herpesvirus
B0050,D,"Afectación ocular por herpesvirus, no especificada"
B0051,D,Iridociclitis por herpesvirus
B0052,D,Queratitis por herpesvirus
B0053,D,Conjuntivitis por herpesvirus
B0059,D,Otras enfermedades oculares por herpesvirus
B007,D,Enfermedad herpética diseminada
B008,D,Otras formas de infecciones herpéticas
B0081,D,Hepatitis por herpesvirus
B0082,D,Mielitis por herpes simple
B0089,D,Otras infecciones por herpesvirus
B009,D,"Infección debida a herpesvirus, no especificada"
B01,D,Varicela
B010,D,Meningitis debida a varicela
B011,D,"Encefalitis, mielitis y encefalomielitis debidas a varicela"
B0111,D,Encefalitis y encefalomielitis debidas a varicela
B0112,D,Mielitis por varicela
B012,D,Neumonía debida a varicela
B018,D,Varicela con otras complicaciones
B0181,D,Queratitis por varicela
B0189,D,Otras complicaciones de varicela
B019,D,Varicela sin complicaciones
B02,D,Herpes zóster
B020,D,Encefalitis debida a herpes zóster
B021,D,Meningitis debida a herpes zóster
B022,D,Herpes zóster con otro tipo de afectación del sistema nervioso
B0221,D,Ganglionitis del geniculado posherpética
B0222,D,Neuralgia del trigémino posherpética
B0223,D,Polineuropatía posherpética
B0224,D,Mielitis posherpética
B0229,D,Otro tipo de afectación posherpética del sistema nervioso
B023,D,Herpes zóster ocular
B0230,D,"Herpes zóster ocular, no especificado"
B0231,D,Conjuntivitis por herpes zóster
B0232,D,Iridociclitis por herpes zóster
B0233,D,Queratitis por herpes zóster
B0234,D,Escleritis por herpes zóster
B0239,D,Otras enfermedades oculares por herpes zóster
B027,D,Herpes zóster diseminado
B028,D,Herpes zóster con otras complicaciones
B029,D,Herpes zóster sin complicaciones
B03,D,Viruela
B04,D,Viruela de los monos
B05,D,Sarampión
B050,D,Sarampión complicado por encefalitis
B051,D,Sarampión complicado por meningitis
B052,D,Sarampión complicado por una neumonía
B053,D,Sarampión complicado por otitis media
B054,D,Sarampión con complicaciones intestinales
B058,D,Sarampión con otras complicaciones
B0581,D,Queratitis y queratoconjuntivitis por sarampión
B0589,D,Otras complicaciones del sarampión
B059,D,Sarampión sin complicaciones
B06,D,Rubeola [sarampión alemán]
B060,D,Rubeola con complicaciones neurológicas
B0600,D,"Rubeola con complicación neurológica, no especificada"
B0601,D,Encefalitis por rubeola
B0602,D,Meningitis por rubeola
B0609,D,Otras complicaciones neurológicas de la rubeola
B068,D,Rubeola con otras complicaciones
B0681,D,Neumonía por rubeola
B0682,D,Artritis por rubeola
B0689,D,Otras complicaciones de la rubeola
B069,D,Rubeola sin complicaciones
B07,D,Verrugas víricas
B070,D,Verruga plantar
B078,D,Otras verrugas virales
B079,D,"Verruga viral, no especificada"
B08,D,"Otras infecciones víricas caracterizadas por lesiones de la piel y de las mucosas, no clasificadas bajo otro concepto"
B080,D,Otras infecciones debidas a ortopoxvirus
B0801,D,Viruela vacuna y vaccinia no debidas a vacunación
B08010,D,Viruela vacuna
B08011,D,Vaccinia no debida a vacunación
B0802,D,Enfermedad por virus Orf
B0803,D,Seudovacuna [nódulo de los ordeñadores]
B0804,D,"Paravacuna, no especificada"
B0809,D,Otras infecciones por ortopoxvirus
B081,D,Molusco contagioso
B082,D,Exantema súbito [sexta enfermedad]
B0820,D,"Exantema súbito [sexta enfermedad], no especificado"
B0821,D,Exantema súbito [sexta enfermedad] debido a virus del herpes humano tipo 6
B0822,D,Exantema súbito [sexta enfermedad] debido a virus del herpes humano tipo 7
B083,D,Eritema infeccioso [quinta enfermedad]
B084,D,Estomatitis vesicular por enterovirus con exantema
B085,D,Faringitis vesicular por enterovirus
B086,D,Infecciones por parapoxvirus
B0860,D,"Infección por parapoxvirus, no especificada"
B0861,D,Estomatitis bovina
B0862,D,Sealpox
B0869,D,Otras infecciones por parapoxvirus
B087,D,Infecciones por Yatapoxvirus
B0870,D,"Infecciones por Yatapoxvirus, no especificadas"
B0871,D,Enfermedad por virus Tanapox
B0872,D,Yaba enfermedad de virus de viruela
B0879,D,Otras infecciones por yatapoxvirus
B088,D,"Otras infecciones virales especificadas, caracterizadas por lesiones de la piel y de las membranas mucosas"
B09,D,"Infección viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas"
B10,D,Otros herpesvirus humanos
B100,D,Otras encefalitis por herpesvirus humanos
B1001,D,Encefalitis por herpesvirus humano tipo 6
B1009,D,Otras encefalitis por herpesvirus humanos
B108,D,Otra infección por herpesvirus humano
B1081,D,Infección por herpesvirus humano 6
B1082,D,Infección por herpesvirus humano 7
B1089,D,Otras infecciones por herpesvirus humano
B15,D,Hepatitis aguda tipo A
B150,D,"Hepatitis aguda tipo A, con coma hepático"
B159,D,"Hepatitis aguda tipo A, sin coma hepático"
B16,D,Hepatitis aguda tipo B
B160,D,"Hepatitis aguda tipo B, con agente delta, con coma hepático"
B161,D,"Hepatitis aguda tipo B, con agente delta, sin coma hepático"
B162,D,"Hepatitis aguda tipo B, sin agente delta, con coma hepático"
B169,D,"Hepatitis aguda tipo B, sin agente delta y sin coma hepático"
B17,D,Otras hepatitis víricas agudas
B170,D,Sobreinfección por agente delta en portador de hepatitis B
B171,D,Hepatitis aguda tipo C
B1710,D,"Hepatitis aguda tipo C, sin coma hepático"
B1711,D,Hepatitis aguda tipo C con coma hepático
B172,D,Hepatitis aguda tipo E
B178,D,Otras hepatitis víricas agudas especificadas
B179,D,"Hepatitis vírica aguda, no especificada"
B18,D,Hepatitis vírica crónica
B180,D,"Hepatitis vírica crónica tipo B, con agente delta"
B181,D,"Hepatitis vírica crónica tipo B, sin agente delta"
B182,D,Hepatitis vírica crónica tipo C
B188,D,Otra hepatitis vírica crónica
B189,D,"Hepatitis vírica crónica, no especificada"
B19,D,"Hepatitis vírica, no especificada"
B190,D,"Hepatitis vírica no especificada, con coma hepático"
B191,D,Hepatitis vírica B no especificada
B1910,D,"Hepatitis vírica B no especificada, sin coma hepático"
B1911,D,"Hepatitis vírica B no especificada, con coma hepático"
B192,D,Hepatitis vírica C no especificada
B1920,D,"Hepatitis vírica C no especificada, sin coma hepático"
B1921,D,"Hepatitis vírica C no especificada, con coma hepático"
B199,D,"Hepatitis vírica, no especificada, sin coma hepático"
B20,D,Enfermedad por virus de la inmunodeficiencia humana [VIH]
B25,D,Enfermedad por citomegalovirus
B250,D,Neumonitis por citomegalovirus
B251,D,Hepatitis por citomegalovirus
B252,D,Pancreatitis por citomegalovirus
B258,D,Otras enfermedades por citomegalovirus
B259,D,"Enfermedad por citomegalovirus, no especificada"
B26,D,Parotiditis infecciosa
B260,D,Orquitis por paperas
B261,D,Meningitis por paperas
B262,D,Encefalitis por paperas
B263,D,Pancreatitis por paperas
B268,D,Parotiditis infecciosa con otras complicaciones
B2681,D,Hepatitis por paperas
B2682,D,Miocarditis por paperas
B2683,D,Nefritis por paperas
B2684,D,Polineuropatía por paperas
B2685,D,Artritis por paperas
B2689,D,Otras complicaciones de la parotiditis
B269,D,"Parotiditis, sin complicaciones"
B27,D,Mononucleosis infecciosa
B270,D,Mononucleosis debida a herpes virus gamma
B2700,D,Mononucleosis por gammaherpesvirus sin complicaciones
B2701,D,Mononucleosis por gammaherpesvirus con polineuropatía
B2702,D,Mononucleosis por gammaherpesvirus con meningitis
B2709,D,Mononucleosis por gammaherpesvirus con otras complicaciones
B271,D,Mononucleosis por citomegalovirus
B2710,D,Mononucleosis por citomegalovirus sin complicaciones
B2711,D,Mononucleosis por citomegalovirus con polineuropatía
B2712,D,Mononucleosis por citomegalovirus con meningitis
B2719,D,Mononucleosis por citomegalovirus con otra complicación
B278,D,Otras mononucleosis infecciosas
B2780,D,Otra mononucleosis infecciosa sin complicaciones
B2781,D,Otra mononucleosis infecciosa con polineuropatía
B2782,D,Otra mononucleosis infecciosa con meningitis
B2789,D,Otra mononucleosis infecciosa con otra complicación
B279,D,"Mononucleosis infecciosa, no especificada"
B2790,D,"Mononucleosis infecciosa, no especificada sin complicaciones"
B2791,D,"Mononucleosis infecciosa, no especificada con polineuropatía"
B2792,D,"Mononucleosis infecciosa, no especificada con meningitis"
B2799,D,"Mononucleosis infecciosa, no especificada con otra complicación"
B30,D,Conjuntivitis viral
B300,D,Queratoconjuntivitis por adenovirus
B301,D,Conjuntivitis por adenovirus
B302,D,Faringoconjuntivitis viral
B303,D,Conjuntivitis aguda hemorrágica epidémica (enterovirus)
B308,D,Otras conjuntivitis virales
B309,D,"Conjuntivitis viral, no especificada"
B33,D,"Otras enfermedades virales, no clasificadas bajo otro concepto"
B330,D,Mialgia epidémica
B331,D,Enfermedad del Río Ross
B332,D,Carditis viral
B3320,D,"Carditis viral, no especificada"
B3321,D,Endocarditis viral
B3322,D,Miocarditis viral
B3323,D,Pericarditis viral
B3324,D,Miocardiopatía viral
B333,D,"Infecciones debidas a retrovirus, no clasificadas bajo otro concepto"
B334,D,Síndrome (cardio)-pulmonar por Hantavirus [SPH] [SCPH]
B338,D,Otras enfermedades virales especificadas
B34,D,Infección viral de localización no especificada
B340,D,"Infección debida a adenovirus, no especificada"
B341,D,"Infección debida a enterovirus, no especificada"
B342,D,"Infección debida a coronavirus, no especificada"
B343,D,"Infección debida a Parvovirus, no especificada"
B344,D,"Infección debida a Papovavirus, no especificada"
B348,D,"Otras infecciones virales, de localización no especificada"
B349,D,"Infección viral, no especificada"
B35,D,Dermatofitosis
B350,D,Tiña de la barba y del cuero cabelludo
B351,D,Tiña de las uñas
B352,D,Tiña de la mano
B353,D,Tiña del pie [Tinea pedis]
B354,D,Tiña del cuerpo [Tinea corporis]
B355,D,Tiña imbricada [Tinea imbricata]
B356,D,Tiña inguinal [Tinea cruris]
B358,D,Otras dermatofitosis
B359,D,"Dermatofitosis, no especificada"
B36,D,Otras micosis superficiales
B360,D,Pitiriasis versicolor
B361,D,Tiña negra
B362,D,Piedra blanca
B363,D,Piedra negra
B368,D,Otras micosis superficiales especificadas
B369,D,"Micosis superficial, no especificada"
B37,D,Candidiasis
B370,D,Estomatitis candidiásica
B371,D,Candidiasis pulmonar
B372,D,Candidiasis de la piel y las uñas
B373,D,Candidiasis de vulva y vagina
B3731,D,Candidiasis aguda de vulva y vagina
B3732,D,Candidiasis crónica de vulva y vagina
B374,D,Candidiasis de otras localizaciones urogenitales
B3741,D,Cistitis y uretritis por cándidas
B3742,D,Balanitis por cándidas
B3749,D,Otra candidiasis urogenital
B375,D,Meningitis por cándidas
B376,D,Endocarditis por cándidas
B377,D,Sepsis por cándidas
B378,D,Candidiasis de otras localizaciones
B3781,D,Esofagitis por cándidas
B3782,D,Enteritis por cándidas
B3783,D,Queilitis por cándidas
B3784,D,Otitis externa por cándidas
B3789,D,Otras localizaciones de candidiasis
B379,D,"Candidiasis, no especificada"
B38,D,Coccidioidomicosis
B380,D,Coccidioidomicosis pulmonar aguda
B381,D,Coccidioidomicosis pulmonar crónica
B382,D,"Coccidioidomicosis pulmonar, no especificada"
B383,D,Coccidioidomicosis cutánea
B384,D,Coccidioidomicosis meningitis
B387,D,Coccidioidomicosis diseminada
B388,D,Otras formas de coccidioidomicosis
B3881,D,Coccidioidomicosis prostática
B3889,D,Otras formas de coccidioidomicosis
B389,D,"Coccidioidomicosis, no especificada"
B39,D,Histoplasmosis
B390,D,Infección pulmonar aguda debida a Histoplasma capsulatum
B391,D,Infección pulmonar crónica debida a Histoplasma capsulatum
B392,D,"Infección pulmonar debida a Histoplasma capsulatum, no especificada"
B393,D,Infección diseminada debida a Histoplasma capsulatum
B394,D,"Histoplasmosis debida a Histoplasma capsulatum, no especificada"
B395,D,Infección debida a Histoplasma duboisii
B399,D,"Histoplasmosis, no especificada"
B40,D,Blastomicosis
B400,D,Blastomicosis pulmonar aguda
B401,D,Blastomicosis pulmonar crónica
B402,D,"Blastomicosis pulmonar, no especificada"
B403,D,Blastomicosis cutánea
B407,D,Blastomicosis diseminada
B408,D,Otras formas de blastomicosis
B4081,D,Meningoencefalitis blastomicótica
B4089,D,Otras formas de blastomicosis
B409,D,"Blastomicosis, no especificada"
B41,D,Paracoccidioidomicosis
B410,D,Paracoccidioidomicosis pulmonar
B417,D,Paracoccidioidomicosis diseminada
B418,D,Otras formas de paracoccidioidomicosis
B419,D,"Paracoccidioidomicosis, no especificada"
B42,D,Esporotricosis
B420,D,Esporotricosis pulmonar
B421,D,Esporotricosis linfocutánea
B427,D,Esporotricosis diseminada
B428,D,Otras formas de esporotricosis
B4281,D,Esporotricosis cerebral
B4282,D,Artritis por esporotricosis
B4289,D,Otras formas de esporotricosis
B429,D,"Esporotricosis, no especificada"
B43,D,Cromomicosis y absceso feomicótico
B430,D,cromomicosis cutánea
B431,D,Absceso cerebral feomicótico
B432,D,Absceso y quiste subcutáneo feomicótico
B438,D,Otras formas de cromomicosis
B439,D,"Cromomicosis, no especificada"
B44,D,Aspergilosis
B440,D,Aspergilosis pulmonar invasiva
B441,D,Otras aspergilosis pulmonares
B442,D,Aspergilosis amigdalina
B447,D,Aspergilosis diseminada
B448,D,Otras formas de aspergilosis
B4481,D,Aspergilosis alérgica broncopulmonar
B4489,D,Otras formas de aspergilosis
B449,D,"Aspergilosis, no especificada"
B45,D,Criptococosis
B450,D,Criptococosis pulmonar
B451,D,Criptococosis cerebral
B452,D,Criptococosis cutánea
B453,D,Criptococosis ósea
B457,D,Criptococosis diseminada
B458,D,Otras formas de criptococosis
B459,D,"Criptococosis, no especificada"
B46,D,Cigomicosis
B460,D,Mucormicosis pulmonar
B461,D,Mucormicosis rinocerebral
B462,D,Mucormicosis gastrointestinal
B463,D,Mucormicosis cutánea
B464,D,Mucormicosis diseminada
B465,D,"Mucormicosis, no especificada"
B468,D,Otras cigomicosis
B469,D,"Cigomicosis, no especificada"
B47,D,Micetoma
B470,D,Eumicetoma
B471,D,Actinomicetoma
B479,D,"Micetoma, no especificado"
B48,D,"Otras micosis, no clasificadas bajo otro concepto"
B480,D,Lobomicosis
B481,D,Rinosporidiosis
B482,D,Alesqueriasis
B483,D,Geotricosis
B484,D,Penicilosis
B488,D,Otras micosis especificadas
B49,D,"Micosis, no especificadas"
B50,D,Paludismo [malaria] debido a Plasmodium falciparum
